1130815.00,1049.00,Bought at , 142.33
1130815.00,1049.00,Sold, NetProfit, 382.00
1130815.00,1050.00,Buy at , 141.91
1130815.00,1050.00,Bought at , 141.91
1130815.00,1051.00,Sold, NetProfit, 355.00
1130815.00,1317.00,Buy at , 140.61
1130815.00,1317.00,Bought at , 140.61
1130815.00,1318.00,Sold, NetProfit, 328.00
1130815.00,1400.00,Buy at , 139.76
1130815.00,1401.00,Bought at , 139.76
1130815.00,1401.00,Sold, NetProfit, 301.00
1130815.00,1403.00,Buy at , 139.39
1130815.00,1404.00,Bought at , 139.36
1130815.00,1404.00,Sold, NetProfit, 274.00
1130815.00,1405.00,Buy at , 139.39
1130815.00,1452.00,Buy at , 139.95
1130815.00,1453.00,Bought at , 139.95
1130815.00,1454.00,Sold, NetProfit, 265.00
1130816.00, 932.00,Buy at , 141.50
1130816.00, 932.00,Bought at , 141.30
1130816.00, 933.00,Sold, NetProfit, 238.00
1130816.00, 933.00,Buy at , 141.51
1130816.00, 953.00,Buy at , 142.73
1130816.00,1118.00,Buy at , 143.08
1130816.00,1118.00,Bought at , 143.07
1130816.00,1131.00,Sold, NetProfit, 247.00
1130816.00,1134.00,Buy at , 142.50
1130816.00,1135.00,Bought at , 142.48
1130816.00,1135.00,Sold, NetProfit, 220.00
1130816.00,1237.00,Buy at , 142.50
1130816.00,1237.00,Bought at , 142.48
1130816.00,1307.00,Sold, NetProfit, 193.00
1130816.00,1312.00,Buy at , 141.84
1130816.00,1312.00,Bought at , 141.84
1130816.00,1338.00,Sold, NetProfit, 166.00
1130819.00, 942.00,Buy at , 145.80
1130819.00, 942.00,Bought at , 145.80
1130819.00, 943.00,Sold, NetProfit, 139.00
1130819.00, 949.00,Buy at , 144.38
1130819.00, 949.00,Bought at , 144.38
1130819.00, 952.00,Sold, NetProfit, 212.00
1130819.00,1007.00,Buy at , 145.52
1130819.00,1007.00,Bought at , 145.51
1130819.00,1008.00,Sold, NetProfit, 185.00
1130819.00,1031.00,Buy at , 145.54
1130819.00,1031.00,Bought at , 145.54
1130819.00,1032.00,Sold, NetProfit, 158.00
1130819.00,1049.00,Buy at , 145.63
1130819.00,1049.00,Bought at , 145.63
1130819.00,1125.00,Sold, NetProfit, 231.00
1130819.00,1135.00,Buy at , 146.38
1130819.00,1135.00,Bought at , 146.38
